code,title,액션,코미디,드라마,멜로,공포/스릴러,SF/판타지,애니메이션,다큐멘터리,독립영화,공연실황
2747742,라라랜드,1,1,1,1,1,1,1,1,0,0
4034051,증인,1,1,1,1,1,1,1,1,0,0
2996569,청년경찰,10,10,10,10,10,10,10,10,0,0
4113612,돈,10,10,10,10,10,10,10,10,0,0
1781025,비긴 어게인,1,1,1,1,1,1,1,1,0,0
3237000,신과함께 -죄와 벌,8,7,8,1,0,10,0,0,0,0
3327477,리틀 포레스트,0,3,10,3,0,0,0,0,0,0
1402314,어바웃 타임,1,3,10,9,0,0,0,0,0,0
585441,노트북,0,3,10,10,0,0,0,0,0,0
4356726,어벤져스:엔드게임,10,2,1,1,0,9,0,0,0,0
3071225,"나는 내일, 어제의 너와 만난다",8,7,8,1,0,10,0,0,0,0
4247261,파이브 피트,8,7,8,1,0,10,0,0,0,0
1773569,"조제, 호랑이 그리고 물고기들",8,7,8,1,0,10,0,0,0,0
464105,헝거게임:판엠의 불꽃,8,7,8,1,0,10,0,0,0,0
1602307,마담 프루스트의 비밀정원,8,7,8,1,0,10,0,0,0,0
475495,어벤져스,10,2,0,0,0,9,0,0,0,0
1783636,이미테이션 게임,3,3,10,4,0,0,0,0,0,0
4321959,롱 리브 더 킹: 목포 영웅,0,3,10,10,0,0,0,0,0,0
412870,해리 포터와 아즈카반의 죄수(3편),10,2,1,1,0,9,0,0,0,0
2385950,싱 스트리트,8,7,8,1,0,10,0,0,0,0
412871,해리 포터와 불 잔(4편),8,7,8,1,0,10,0,0,0,0
3954927,말모이,8,7,8,1,0,10,0,0,0,0
407404,바람(감독판),5,7,10,0,0,0,0,0,0,0
1991220,어벤져스:에이지오브,10,2,1,1,0,9,0,0,0,0
2129302,인턴,0,2,10,2,0,0,0,0,0,0
1757148,리틀 포레스트:여름과 가을,0,3,10,2,0,0,0,0,0,0
3532815,어벤져스:인피니트워,10,2,1,1,0,10,0,0,0,0
2998197,스파이드맨:홈커밍,10,5,0,2,0,10,0,0,0,0
4017123,극한직업,8,10,2,2,0,0,0,0,0,0
3642448,신과함께 - 인과연,10,5,4,1,0,10,0,0,0,0
3241116,코코,0,6,5,1,0,0,10,0,0,0
1703054,메이즈 러너,10,2,3,3,0,5,0,0,0,0
2832638,겟 아웃,2,0,0,0,10,0,0,0,0,0
1120715,아이언맨,10,5,2,3,0,10,0,0,0,0
1398956,어바웃 타임,1,3,10,9,0,0,0,0,0,0
1161090,아이언맨 3,10,3,2,2,0,10,0,0,0,0
2525467,럭키,10,6,2,2,0,0,0,0,0,0
1902634,리틀 포레스트2: 겨울과 봄,0,2,10,2,0,0,0,0,0,0
1872766,피아니스트(2002년작),0,0,5,0,0,0,0,0,0,0
2585639,미씽: 사라진 여자,0,0,7,0,10,0,0,0,0,0
4462863,엑시트,10,7,7,0,0,0,0,0,0,0
2872922,세상의 중심에서 사랑을 외치다,0,0,7,10,0,0,0,0,0,0
1776047,포레스트 검프,0,7,10,5,0,0,0,0,0,0
3969968,뺑반,10,5,5,0,0,0,0,0,0,0
1120615,아이언맨 3(자막판),7,3,3,3,0,10,0,0,0,0
2611144,판도라,5,3,10,3,7,0,0,0,0,0
2287750,미운 오리 새끼의 모험,0,5,7,0,0,0,10,0,0,0
2678616,컨택트,0,0,10,0,5,7,0,0,0,0
2909331,너의 이름은.,0,0,7,7,0,0,10,0,0,0
4913151,나이브스 아웃,0,0,0,0,10,0,0,0,0,0
586971,문라이즈 킹덤,0,5,10,0,0,0,0,0,0,0
3248321,그것만이 내 세상,0,10,7,0,0,0,0,0,0,0
568316,주먹왕 랄프,0,7,5,0,0,0,10,0,0,0
4421875,사자,5,0,0,0,10,5,0,0,0,0
588523,남자사용설명서,0,5,0,10,0,0,0,0,0,0
2825351,보안관,10,5,0,0,0,0,0,0,0,0
1790954,퀸카로 살아남는 법,0,10,7,5,0,0,0,0,0,0
1543810,베스트 오퍼,10,0,5,0,0,0,0,0,0,0
3111063,나의 서른에게,0,3,10,5,0,0,0,0,0,0
3600489,유전,0,0,5,0,10,0,0,0,0,0
1720983,엽기적인 그녀,0,10,5,7,0,0,0,0,0,0
1622690,괴물,10,3,5,0,0,0,0,0,0,0
2852112,너와 100번째 사랑,0,0,10,7,0,0,0,0,0,0
1612043,나 홀로 집에 2 - 뉴욕을 헤매다,10,5,5,0,0,0,0,0,0,0
